Epoch,Loss,Accuracy
1,4.787491734822591,0.8083333333333333
2,4.787491416931152,0.7666666666666667
3,4.787491794586182,0.8583333333333333
4,4.787491654713949,0.9666666666666667
5,4.787491778055827,0.8
6,4.78749166615804,0.8333333333333334
7,4.787492083231608,0.775
8,4.787491626739502,0.8416666666666667
9,4.787491717020671,0.7416666666666667
10,4.787491483052571,0.8583333333333333
11,4.787491739908854,0.8333333333333334
12,4.787491410573324,0.9083333333333333
13,4.787491709391276,0.7416666666666667
14,4.787491508483887,0.7083333333333334
15,4.787491456349691,0.825
16,4.787491982777913,0.7916666666666666
17,4.787491484324137,0.8416666666666667
18,4.787491311391195,0.8416666666666667
19,4.787491570790609,0.825
20,4.7874915962219236,0.95
21,4.787491743723551,0.8333333333333334
22,4.787491434733073,0.7666666666666667
23,4.787491709391276,0.75
24,4.787491586049398,0.725
25,4.7874912274678545,0.9916666666666667
26,4.787491677602132,0.75
27,4.787491568247477,0.7166666666666667
28,4.787491813659668,0.8583333333333333
29,4.7874918467203775,0.6666666666666666
30,4.787491746266683,0.8416666666666667
31,4.7874917360941565,0.6916666666666667
32,4.787491331736247,0.8666666666666667
33,4.787491460164388,0.8083333333333333
34,4.787491400400797,0.9333333333333333
35,4.787491837819418,0.725
36,4.787491456349691,0.7666666666666667
37,4.787491807301839,0.7333333333333333
38,4.787491820017497,0.825
39,4.7874914817810055,0.8833333333333333
40,4.787491919199626,0.7916666666666666
41,4.787491113026936,0.875
42,4.787491839090983,0.8583333333333333
43,4.7874915962219236,0.8333333333333334
44,4.787491845448812,0.7833333333333333
45,4.78749153137207,0.6666666666666666
46,4.787491865793864,0.7583333333333333
47,4.787491826375326,0.8583333333333333
48,4.787491519927978,0.8583333333333333
49,4.787491517384847,0.9666666666666667
50,4.787491320292155,0.9833333333333333
51,4.787491525014241,0.7083333333333334
52,4.787492017110189,0.7416666666666667
53,4.787491437276205,0.8166666666666667
54,4.7874916013081865,0.8166666666666667
55,4.787491541544596,0.825
56,4.787491509755452,0.8416666666666667
57,4.787491710662842,0.6916666666666667
58,4.787491144816081,0.8583333333333333
59,4.787491436004639,0.775
60,4.787491447448731,0.8583333333333333
61,4.787491404215495,0.9083333333333333
62,4.787491508483887,0.7833333333333333
63,4.787491692860921,1.0083333333333333
64,4.7874912223815915,0.8333333333333334
65,4.787491376241048,0.95
66,4.787491616566976,0.8166666666666667
67,4.787491249084472,0.9
68,4.787491311391195,0.8166666666666667
69,4.787491256713867,0.9
70,4.7874917233784995,1.0
71,4.787491399129232,0.875
72,4.787491930643718,0.7416666666666667
73,4.787491196950277,0.8416666666666667
74,4.787491231282552,0.8916666666666667
75,4.787491484324137,0.9666666666666667
76,4.787491572062175,0.8083333333333333
77,4.787491163889567,0.825
78,4.787491560618083,0.8583333333333333
79,4.787491580963135,0.9916666666666667
80,4.787491509755452,0.825
81,4.787491517384847,0.9083333333333333
82,4.787491610209147,0.8083333333333333
83,4.787491626739502,0.9
84,4.78749133682251,0.9833333333333333
85,4.787491018931071,0.8666666666666667
86,4.787491319020589,0.7583333333333333
87,4.787491189320882,0.8083333333333333
88,4.787491358439127,0.75
89,4.787491523742676,0.7833333333333333
90,4.787491608937581,0.9583333333333334
91,4.787491362253824,0.8083333333333333
92,4.78749143854777,0.8833333333333333
93,4.787491424560547,0.8416666666666667
94,4.787491240183512,0.75
95,4.787491205851237,0.7916666666666666
96,4.787491176605225,0.8666666666666667
97,4.787491368611653,0.875
98,4.78749156443278,0.85
99,4.78749104309082,0.975
100,4.787491027832031,0.8916666666666667
101,4.787491446177165,0.9083333333333333
102,4.787491452534994,0.8833333333333333
103,4.787491818745931,0.7666666666666667
104,4.787491687774658,0.775
105,4.78749155553182,0.8833333333333333
106,4.787491644541422,0.9583333333333334
107,4.787491105397542,0.9083333333333333
108,4.787491072336833,0.8416666666666667
109,4.787491419474284,0.85
110,4.787491542816162,0.9166666666666666
111,4.787491312662761,0.9416666666666667
112,4.7874912287394205,0.7833333333333333
113,4.787490961710612,0.9083333333333333
114,4.787491176605225,0.825
115,4.787491217295329,0.825
116,4.787491423288981,0.9333333333333333
117,4.787491452534994,0.9333333333333333
118,4.787491031646729,0.8666666666666667
119,4.787490948994955,0.7916666666666666
120,4.7874910939534505,0.7666666666666667
